Équipe,Ligue,Last_5_FT_Goals,Last_5_MT_Goals,Form_Score,Form_Last_5_Str,Prochain_Match,FT Marque_Record,FT Marque_Annee_Record,FT Marque_EnCours,FT CS_Record,FT CS_Annee_Record,FT CS_EnCours,FT No CS_Record,FT No CS_Annee_Record,FT No CS_EnCours,FT -0.5_Record,FT -0.5_Annee_Record,FT -0.5_EnCours,FT +1.5_Record,FT +1.5_Annee_Record,FT +1.5_EnCours,FT -1.5_Record,FT -1.5_Annee_Record,FT -1.5_EnCours,FT +2.5_Record,FT +2.5_Annee_Record,FT +2.5_EnCours,FT -2.5_Record,FT -2.5_Annee_Record,FT -2.5_EnCours,FT +3.5_Record,FT +3.5_Annee_Record,FT +3.5_EnCours,FT -3.5_Record,FT -3.5_Annee_Record,FT -3.5_EnCours,FT Nuls_Record,FT Nuls_Annee_Record,FT Nuls_EnCours,MT +0.5_Record,MT +0.5_Annee_Record,MT +0.5_EnCours,MT -0.5_Record,MT -0.5_Annee_Record,MT -0.5_EnCours,MT +1.5_Record,MT +1.5_Annee_Record,MT +1.5_EnCours,MT -1.5_Record,MT -1.5_Annee_Record,MT -1.5_EnCours
Bristol City,Championship,"4, 1, 6, 1, 2","2, 1, 3, 1, 2",1.0000000000000002,"N, D, D, V, V",N/A,16,2019,1,4,2024,0,29,2013,3,2,2013,0,15,2022,1,4,2016,0,13,2022,0,10,2023,2,4,2025,0,15,2025,2,3,2024,1,26,2022,5,6,2012,0,7,2012,1,23,2023,0
Charlton,Championship,"3, 2, 2, 1, 1","0, 0, 0, 0, 0",5.4,"D, V, N, N, V",N/A,15,2021,0,6,2020,0,21,2024,1,2,2024,0,17,2015,0,5,2020,2,7,2015,0,9,2024,4,4,2023,0,23,2019,11,3,2024,0,15,2018,0,5,2025,5,5,2021,0,14,2013,5
Coventry,Championship,"3, 4, 5, 4, 1","1, 3, 1, 1, 0",14.600000000000001,"V, V, D, V, V",N/A,19,2012,9,5,2025,1,18,2017,0,2,2021,0,17,2014,0,6,2022,1,10,2024,0,8,2015,1,5,2015,0,24,2019,1,4,2023,0,28,2013,0,6,2011,1,6,2024,0,18,2022,3
Derby,Championship,"1, 1, 4, 3, 3","0, 1, 1, 1, 2",17.400000000000002,"V, V, V, V, V",N/A,18,2020,5,5,2017,0,14,2011,3,2,2022,0,21,2013,3,5,2021,0,6,2023,3,11,2016,0,4,2024,0,18,2016,2,4,2021,0,15,2013,4,6,2016,0,5,2020,1,18,2016,0
Hull,Championship,"3, 2, 2, 3, 5","2, 0, 0, 1, 4",10.2,"V, D, V, N, V",N/A,15,2020,12,6,2012,0,20,2024,2,2,2021,0,22,2019,6,6,2012,0,7,2025,2,10,2016,0,6,2012,1,29,2016,0,5,2012,0,16,2019,2,7,2025,0,6,2012,1,16,2025,0
Ipswich,Championship,"3, 1, 5, 2, 5","0, 0, 2, 2, 1",14.200000000000001,"V, N, V, V, D",N/A,31,2023,4,9,2023,0,23,2025,3,2,2024,0,18,2017,3,6,2016,0,8,2021,1,10,2022,0,5,2011,1,18,2022,0,6,2017,0,18,2017,3,5,2013,0,4,2024,0,16,2013,1
Leicester,Championship,"3, 1, 2, 2, 3","2, 1, 1, 1, 0",2.2,"V, N, D, D, D",N/A,32,2014,2,5,2016,0,27,2025,9,2,2019,0,20,2025,3,4,2016,0,8,2024,1,9,2018,0,4,2024,0,14,2013,6,4,2025,0,15,2014,0,4,2020,1,6,2021,0,10,2019,4
Middlesbrough,Championship,"1, 2, 3, 2, 3","1, 1, 2, 1, 3",5.800000000000001,"V, N, D, N, V",N/A,19,2018,2,9,2016,0,17,2023,4,3,2014,0,17,2023,4,6,2014,0,7,2023,1,12,2014,0,4,2010,0,27,2019,10,5,2016,0,21,2018,7,7,2014,0,5,2021,1,16,2020,0
Millwall,Championship,"2, 1, 4, 4, 2","2, 1, 2, 2, 2",3.4,"N, D, N, V, V",N/A,19,2020,1,7,2017,0,14,2016,3,2,2023,0,20,2016,3,5,2014,0,8,2016,0,14,2024,1,4,2012,0,22,2021,1,5,2020,1,17,2016,11,5,2023,0,5,2016,3,14,2024,0
Norwich,Championship,"1, 3, 2, 2, 3","0, 2, 0, 1, 0",-5.8,"D, N, D, D, D",N/A,30,2019,2,5,2017,0,22,2012,11,2,2021,0,22,2017,4,5,2017,0,9,2016,1,7,2012,0,4,2019,0,14,2017,6,5,2018,0,15,2019,0,4,2015,1,5,2015,0,12,2018,3
