Équipe,Ligue,Prochain_Match,Form_Score,Form_Last_5_Str,Last_5_FT_Goals,FT Marque_Record,FT Marque_Annee_Record,FT Marque_EnCours,FT Marque_Pct,FT CS_Record,FT CS_Annee_Record,FT CS_EnCours,FT CS_Pct,FT No CS_Record,FT No CS_Annee_Record,FT No CS_EnCours,FT No CS_Pct,FT -0.5_Record,FT -0.5_Annee_Record,FT -0.5_EnCours,FT -0.5_Pct,FT +1.5_Record,FT +1.5_Annee_Record,FT +1.5_EnCours,FT +1.5_Pct,FT -1.5_Record,FT -1.5_Annee_Record,FT -1.5_EnCours,FT -1.5_Pct,FT +2.5_Record,FT +2.5_Annee_Record,FT +2.5_EnCours,FT +2.5_Pct,FT -2.5_Record,FT -2.5_Annee_Record,FT -2.5_EnCours,FT -2.5_Pct,FT +3.5_Record,FT +3.5_Annee_Record,FT +3.5_EnCours,FT +3.5_Pct,FT -3.5_Record,FT -3.5_Annee_Record,FT -3.5_EnCours,FT -3.5_Pct,FT Nuls_Record,FT Nuls_Annee_Record,FT Nuls_EnCours,FT Nuls_Pct,MT +0.5_Record,MT +0.5_Annee_Record,MT +0.5_EnCours,MT +0.5_Pct,MT -0.5_Record,MT -0.5_Annee_Record,MT -0.5_EnCours,MT -0.5_Pct,MT +1.5_Record,MT +1.5_Annee_Record,MT +1.5_EnCours,MT +1.5_Pct,MT -1.5_Record,MT -1.5_Annee_Record,MT -1.5_EnCours,MT -1.5_Pct
RAAL La Louviere,Jupiler Pro League,Anderlecht (Dom) - 23/11,3.4000000000000004,"D, V, N, N, N","0,0,2,3,4",3,2025,3,57.14285714285714,3,2025,0,42.857142857142854,3,2025,3,57.14285714285714,3,2025,0,28.57142857142857,3,2025,3,50.0,3,2025,0,50.0,2,2025,2,35.714285714285715,4,2025,0,64.28571428571429,1,2025,1,14.285714285714285,7,2025,0,85.71428571428571,4,2025,0,35.714285714285715,3,2025,0,57.14285714285714,3,2025,1,42.857142857142854,1,2025,0,21.428571428571427,6,2025,2,78.57142857142857
St Truiden,Jupiler Pro League,Oud-Heverlee Leuven (Ext) - 23/11,12.600000000000001,"V, V, D, N, V","4,4,2,1,1",13,2025,2,67.83042394014963,3,2022,2,22.194513715710723,16,2025,0,77.80548628428927,3,2012,0,6.982543640897755,25,2025,0,76.30922693266832,4,2023,2,23.690773067331673,7,2016,0,49.87531172069826,7,2018,3,50.12468827930174,4,2017,0,26.184538653366584,19,2011,3,73.81546134663341,5,2017,0,26.184538653366584,18,2025,0,67.08229426433915,5,2018,1,32.917705735660846,5,2019,0,29.925187032418954,11,2021,3,70.07481296758104
St. Gilloise,Jupiler Pro League,Pas de match prévu,13.0,"N, V, V, V, D","1,4,2,5,2",34,2023,4,87.03703703703704,5,2025,0,38.2716049382716,10,2023,2,61.72839506172839,2,2024,0,7.4074074074074066,19,2023,4,81.48148148148148,4,2025,0,18.51851851851852,10,2022,0,60.49382716049383,5,2024,1,39.50617283950617,5,2023,0,34.5679012345679,8,2024,1,65.4320987654321,2,2024,1,20.98765432098765,20,2023,0,72.8395061728395,5,2024,1,27.160493827160494,6,2021,0,38.88888888888889,10,2024,1,61.111111111111114
Standard,Jupiler Pro League,Pas de match prévu,3.000000000000001,"D, V, D, V, D","1,1,4,4,1",14,2019,0,74.49392712550608,6,2013,0,31.376518218623485,12,2017,3,68.62348178137651,3,2025,0,8.299595141700406,16,2023,0,73.88663967611336,6,2022,1,26.113360323886642,10,2012,0,50.80971659919028,11,2025,1,49.19028340080971,5,2012,0,30.5668016194332,20,2025,1,69.4331983805668,5,2024,0,26.923076923076923,11,2021,0,68.21862348178138,5,2024,1,31.781376518218625,4,2012,0,33.198380566801625,10,2022,1,66.80161943319838
Waregem,Jupiler Pro League,Pas de match prévu,2.6,"N, D, N, V, N","0,5,2,5,4",32,2013,4,79.51807228915662,4,2016,0,21.927710843373493,21,2025,4,78.07228915662651,2,2010,0,4.578313253012048,34,2021,4,85.3012048192771,3,2014,0,14.698795180722893,12,2015,2,58.79518072289157,5,2016,0,41.204819277108435,6,2017,2,39.277108433734945,9,2022,0,60.722891566265055,3,2023,1,26.024096385542165,20,2020,4,74.69879518072288,4,2012,0,25.301204819277107,4,2023,0,36.626506024096386,11,2015,1,63.373493975903614
Westerlo,Jupiler Pro League,Pas de match prévu,-2.2,"D, D, N, N, V","2,0,2,1,2",20,2023,0,75.09025270758123,3,2011,0,19.494584837545126,19,2024,3,80.50541516245488,2,2023,0,6.4981949458483745,16,2024,1,83.39350180505414,2,2024,0,16.60649819494585,8,2024,0,63.898916967509024,6,2025,6,36.101083032490976,6,2012,0,40.794223826714806,9,2010,6,59.205776173285194,4,2023,0,27.075812274368232,14,2024,3,75.09025270758123,6,2011,0,24.90974729241877,5,2024,0,43.32129963898917,7,2024,6,56.678700361010826
Bielefeld,Bundesliga 2,Nurnberg (Ext) - 23/11,13.0,"V, N, V, D, D","3,7,2,4,4",27,2019,12,71.875,3,2021,1,22.727272727272727,23,2022,0,77.27272727272727,2,2015,0,7.954545454545454,28,2017,24,77.27272727272727,5,2021,0,22.727272727272727,8,2023,2,51.70454545454546,7,2015,0,48.29545454545455,7,2023,2,33.23863636363637,13,2016,0,66.76136363636364,5,2015,0,32.10227272727273,9,2019,7,67.04545454545455,6,2021,0,32.95454545454545,5,2019,0,31.53409090909091,10,2021,1,68.4659090909091
Bochum,Bundesliga 2,Pas de match prévu,15.4,"V, V, N, V, D","5,5,2,2,2",16,2011,5,71.455938697318,4,2017,2,24.137931034482758,29,2024,0,75.86206896551724,3,2017,0,7.088122605363985,18,2021,5,78.9272030651341,4,2017,0,21.0727969348659,7,2024,0,52.490421455938694,8,2025,3,47.509578544061306,6,2024,0,30.65134099616858,19,2018,3,69.34865900383141,5,2017,0,26.053639846743295,15,2021,2,71.64750957854406,4,2019,0,28.35249042145594,8,2022,0,36.97318007662835,10,2017,3,63.02681992337165
Braunschweig,Bundesliga 2,Pas de match prévu,-5.800000000000001,"D, D, D, V, D","3,3,3,3,2",24,2013,0,68.65284974093264,5,2015,0,26.683937823834196,16,2022,11,73.31606217616581,2,2021,0,8.549222797927461,14,2014,11,75.90673575129534,4,2017,0,24.093264248704664,8,2020,0,48.18652849740933,7,2021,1,51.813471502590666,4,2024,0,26.165803108808287,14,2012,5,73.83419689119171,6,2012,0,27.72020725388601,15,2024,8,69.17098445595855,5,2022,0,30.82901554404145,6,2023,0,32.90155440414508,14,2012,1,67.09844559585493
Darmstadt,Bundesliga 2,Pas de match prévu,7.4,"V, N, D, N, N","2,0,1,4,5",21,2023,2,74.35233160621762,5,2014,0,24.352331606217618,17,2024,3,75.64766839378238,3,2014,0,4.922279792746114,18,2021,2,78.49740932642487,5,2014,0,21.502590673575128,9,2023,2,54.145077720207254,8,2018,0,45.854922279792746,5,2023,2,32.90155440414508,16,2018,0,67.09844559585493,5,2020,0,26.42487046632124,16,2021,3,69.17098445595855,4,2019,0,30.82901554404145,7,2024,2,33.67875647668394,12,2016,0,66.32124352331607
Dresden,Bundesliga 2,Pas de match prévu,-6.2,"D, D, D, N, N","6,4,3,2,3",14,2012,1,67.25352112676056,3,2013,0,21.47887323943662,16,2025,16,78.52112676056338,2,2019,0,8.450704225352112,21,2012,8,76.76056338028168,3,2019,0,23.239436619718308,10,2012,1,52.46478873239436,4,2019,0,47.53521126760563,4,2012,0,30.28169014084507,10,2021,3,69.71830985915493,4,2022,0,30.633802816901408,14,2016,8,67.95774647887323,4,2014,0,32.04225352112676,3,2025,3,33.45070422535211,12,2021,0,66.54929577464789
Elversberg,Bundesliga 2,Karlsruhe (Ext) - 23/11,1.4000000000000004,"D, N, D, V, V","4,6,2,4,1",8,2025,0,75.0,4,2025,0,27.500000000000004,17,2024,3,72.5,1,2025,0,6.25,10,2023,0,81.25,2,2025,1,18.75,5,2025,0,61.25000000000001,3,2025,1,38.75,3,2024,0,41.25,9,2023,1,58.75,2,2025,0,23.75,10,2023,5,73.75,2,2025,0,26.25,6,2023,0,41.25,5,2025,1,58.75
Fortuna Dusseldorf,Bundesliga 2,Pas de match prévu,-5.8,"D, N, D, D, D","5,3,1,2,1",22,2025,0,76.62835249042146,5,2012,0,25.67049808429119,17,2022,5,74.32950191570882,3,2012,0,6.130268199233716,24,2019,0,79.3103448275862,3,2012,1,20.689655172413794,9,2019,0,55.74712643678161,7,2014,3,44.252873563218394,4,2025,0,31.992337164750957,13,2017,4,68.00766283524904,4,2020,0,27.011494252873565,16,2024,0,72.22222222222221,5,2010,3,27.77777777777778,7,2019,0,32.56704980842912,11,2014,3,67.43295019157088
Greuther Furth,Bundesliga 2,Pas de match prévu,1.7999999999999996,"V, D, D, D, N","4,6,5,3,1",26,2023,3,72.79693486590038,5,2023,1,26.436781609195403,22,2025,0,73.5632183908046,2,2022,0,7.662835249042145,17,2023,0,77.39463601532567,8,2015,1,22.60536398467433,8,2021,0,52.490421455938694,14,2017,1,47.509578544061306,5,2021,0,31.226053639846747,17,2018,2,68.77394636015326,3,2022,0,28.35249042145594,18,2016,0,71.83908045977012,5,2019,1,28.160919540229884,5,2024,0,35.24904214559387,12,2015,2,64.75095785440614
Hannover,Bundesliga 2,Pas de match prévu,2.1999999999999993,"D, N, V, D, N","4,3,3,4,5",15,2022,3,75.09578544061303,6,2017,0,24.32950191570881,25,2015,2,75.67049808429118,1,2025,0,5.938697318007663,19,2014,11,79.11877394636015,3,2025,0,20.88122605363985,12,2023,10,58.23754789272031,10,2017,0,41.7624521072797,5,2013,2,33.90804597701149,13,2017,0,66.0919540229885,5,2025,0,24.137931034482758,19,2011,7,73.75478927203065,8,2017,0,26.245210727969347,6,2023,5,37.547892720306514,9,2025,0,62.45210727969349
Hertha,Bundesliga 2,Pas de match prévu,16.6,"V, V, V, D, V","3,5,1,2,1",19,2011,6,73.5632183908046,5,2010,3,26.245210727969347,15,2023,0,73.75478927203065,2,2025,0,6.896551724137931,27,2024,0,79.88505747126436,3,2019,1,20.114942528735632,10,2019,0,54.98084291187739,9,2018,3,45.01915708812261,5,2024,0,33.33333333333333,14,2018,3,66.66666666666666,4,2022,0,24.521072796934863,16,2024,2,73.5632183908046,6,2020,0,26.436781609195403,7,2024,0,36.39846743295019,15,2018,1,63.601532567049816
Holstein Kiel,Bundesliga 2,Kaiserslautern (Ext) - 23/11,5.8,"V, D, N, N, N","2,2,2,3,1",24,2024,5,85.91549295774648,6,2024,1,23.239436619718308,14,2025,0,76.76056338028168,1,2023,0,3.5211267605633805,23,2022,0,87.32394366197182,2,2022,1,12.676056338028168,11,2021,0,63.732394366197184,4,2025,1,36.267605633802816,9,2025,0,36.971830985915496,16,2019,14,63.02816901408451,4,2017,0,26.76056338028169,42,2025,0,80.28169014084507,3,2018,1,19.718309859154928,7,2024,0,46.478873239436616,6,2025,6,53.52112676056338
Kaiserslautern,Bundesliga 2,Holstein Kiel (Dom) - 23/11,2.6000000000000005,"D, N, N, V, V","5,5,2,2,1",20,2014,0,69.94818652849742,3,2016,0,23.57512953367876,28,2024,7,76.42487046632125,3,2016,0,8.031088082901555,40,2024,0,76.42487046632125,3,2016,1,23.57512953367876,8,2010,0,52.07253886010362,9,2012,3,47.92746113989637,5,2023,0,29.533678756476682,21,2017,3,70.46632124352331,6,2022,0,28.497409326424872,18,2024,1,68.9119170984456,7,2017,0,31.088082901554404,7,2023,0,31.606217616580313,10,2013,4,68.39378238341969
Karlsruhe,Bundesliga 2,Elversberg (Dom) - 23/11,4.6,"D, V, V, D, N","6,5,5,3,4",18,2025,0,73.33333333333333,4,2015,0,26.42857142857143,16,2020,5,73.57142857142858,2,2021,0,8.80952380952381,36,2022,5,78.80952380952381,4,2021,0,21.19047619047619,11,2024,5,54.761904761904766,7,2020,0,45.23809523809524,5,2023,1,33.33333333333333,18,2013,0,66.66666666666666,7,2019,0,30.952380952380953,23,2024,1,72.38095238095238,5,2017,0,27.61904761904762,5,2021,0,38.333333333333336,13,2013,2,61.66666666666667
Magdeburg,Bundesliga 2,Pas de match prévu,-0.6000000000000001,"D, D, V, N, D","4,0,2,2,1",13,2025,0,68.24324324324324,2,2025,0,21.62162162162162,16,2022,2,78.37837837837837,1,2025,0,9.45945945945946,13,2025,0,75.0,2,2024,1,25.0,10,2024,0,56.08108108108109,5,2019,4,43.91891891891892,3,2024,0,33.78378378378378,9,2019,4,66.21621621621621,3,2018,0,29.054054054054053,11,2022,2,70.94594594594594,3,2022,0,29.054054054054053,6,2024,0,41.21621621621622,9,2023,4,58.78378378378378
Nurnberg,Bundesliga 2,Bielefeld (Dom) - 23/11,11.4,"V, V, N, N, V","5,2,2,3,3",41,2017,5,74.32950191570882,3,2022,0,22.796934865900383,24,2013,8,77.20306513409962,2,2022,0,4.980842911877394,21,2017,8,79.88505747126436,4,2017,0,20.114942528735632,9,2025,2,54.02298850574713,6,2017,0,45.97701149425287,3,2025,0,31.226053639846747,14,2019,4,68.77394636015326,4,2020,0,25.478927203065133,17,2022,6,72.03065134099617,4,2022,0,27.969348659003828,4,2020,2,34.86590038314176,14,2019,0,65.13409961685824
Paderborn,Bundesliga 2,Pas de match prévu,17.8,"V, V, V, V, V","3,7,3,3,1",17,2012,8,73.568281938326,4,2025,1,25.991189427312776,17,2023,0,74.00881057268722,2,2011,0,7.709251101321586,20,2019,0,78.8546255506608,3,2018,1,21.145374449339208,8,2023,0,58.590308370044056,6,2015,1,41.409691629955944,5,2023,0,33.480176211453745,12,2025,3,66.51982378854625,3,2024,0,26.87224669603524,16,2019,5,68.28193832599119,4,2018,0,31.718061674008812,5,2023,0,34.801762114537446,14,2011,2,65.19823788546255
Schalke 04,Bundesliga 2,Pas de match prévu,13.4,"V, D, V, V, V","3,3,1,3,1",29,2018,7,74.13793103448276,5,2018,1,25.478927203065133,26,2021,0,74.52107279693486,4,2023,0,5.555555555555555,32,2012,0,81.80076628352491,5,2011,1,18.199233716475096,12,2022,0,58.23754789272031,7,2017,1,41.7624521072797,5,2023,0,32.758620689655174,17,2011,16,67.24137931034483,4,2023,0,22.60536398467433,26,2012,1,73.37164750957854,4,2023,0,26.62835249042146,4,2023,0,34.099616858237546,12,2018,3,65.90038314176245
